Land_ID;Jahr;Oblig_Schule;Sekundarstufe_II;Tertiärstufe
1;2018;11.1;48.4;40.5
2;2018;17.4;37.8;44.8
3;2018;13;40.1;46.9
4;2018;13;54.7;32.3
5;2018;24.1;48.1;27.7
6;2018;12.9;39.5;47.6
7;2018;17.3;35.2;47.5
8;2018;7.1;41.7;51.2
9;2018;15.1;34.2;50.8
10;2018;7.6;43.1;49.4
