Land_ID;Jahr;Schulbesuchsquote_15_19;Schulbesuchsquote_20_34
1;2018;78.8;35
2;2018;86.3;53.1
3;2018;87;38.2
4;2018;86.4;49.3
5;2018;85.3;37.4
6;2018;92.5;53.3
7;2018;89.7;45.3
8;2018;84.9;40.1
9;2018;83.3;31.5
10;2018;83.7;36.3
